,review_text,majority_vote
470,"Pelayanan terbaik setiap waktu, kini konsul ke dokter tidak perlu antri lama",HAPPINESS
471,Dokternya baik dan obatnya manjur semua,HAPPINESS
472,mantabbb semua biaya dicover,HAPPINESS
473,"Kurang puas, mhn maaf apk nya saya hapus.",SADNESS
474,"Alhamdulillah dapat dokter yang responsive, berobat gak perlu pergi kluar hanya dirumah aja. Jadi mempermudah.",HAPPINESS
475,Daftar udah 2 nomor tetap gak ada ferivikasi masuk ribet+lelet banget ya gak rekomen aplikasi rusak,SADNESS
476,"Konsultasi mengecewakan, dokter gak hadir dibilang pasien gak masuk chat room, lagi chat cs minta bantuan tau tau sesi habis, uang hilang, komplain juga gak guna. Saran buat yang mau konsul, rekam dari tunggu dokter di chat room, konsultasi sampai sesi selesai",SADNESS
477,"sejauh ini pake halodoc pelayanannya bagus dengan para dokter yg sudah berpengalaman, resep obat yg di berikan juga sesuai dan bagus untuk kesehatan, saya baru aja pesan barang dan paketnya sampai dengan aman, semoga halodoc bisa terus seperti ini ya!",HAPPINESS
478,berguna banget,HAPPINESS
479,Mantappppp,HAPPINESS
480,selalu membantu,HAPPINESS
481,Aplikasi yang sangat membantu,HAPPINESS
482,Sy order obat lama banget nyampenya. Lokasi sy di cikarang eh obatnya diambil di bekasi. 2 jam ga sampe- sampe. Saran saya tlg carikan toko obat yg terdekat dg lokasi karena situasi emergency.,SADNESS
483,Sangat membantu!!,HAPPINESS
484,Dokter sangat fast respon dan ramah,HAPPINESS
485,"lagi bth obat, tyt gk dikirim. pengembalian uang lama.",SADNESS
486,"Rugi Bayar , ternyata stlah konsultasi tidak ada balasan dari dokternya sampai waktu Habis. Sbneranya ini ada dokternya beneran atau cuma tipu"". Mnding ketemu dokter lamgsung lebih jelas. ini mah aplikasi buang"" Uang. Nyesel dah",ANGER
487,halodoc joss tenan,HAPPINESS
488,"Oke buat kamu yang anak rantau, zomblo plus ngga ada sodara yang nganterin berobat, makasih halodoc",HAPPINESS
489,"sangat membantu, terima kasih halodoc🙏",HAPPINESS
490,"Kadang sering error, 2x resep diterbitkan tidak muncul",SADNESS
491,Sangat jelas Dokternya,HAPPINESS
492,"alhamdulillah bisa menghemat kantong, tanpa perlu di rawat di rs. dari 2020 - sekarang alhamdulillah bisa sembuh atas izin allah dan resep yg di berikan oleh dokter",HAPPINESS
493,Makasih dokter baik,HAPPINESS
494,Membantu bangett,HAPPINESS
495,Dokternya ramah terimakasih,HAPPINESS
496,Membantu sekali,HAPPINESS
497,Sangat puas bisa jadi solusi utk yg suka bingung bertanya klu ketemu dokter langsung..,HAPPINESS
498,"Apakah memang ada batasan waktu ya pas konsultasi? Tadi saya tinggal chatnya ga sampe satu jam belum saya bales balik, tapi sm dokternya udh dianggap selesai, uang saya sia sia.",SADNESS
499,"dokternya hebat hebat, resep sip dikarenakan penilaian untuk aplikasi maka: 1. chat cek list 1 mlulu 2. cek list 1 tapi dokternya bisa jawab gimana itu? 3. gagal konsultasi balikin duit 20 menit, emangnya gak bisa otomatis dibalikin? kesimpulan: dalam keadaan sakit kita pengen buru buru beli obat, jaringan yang dikira lelet bisa buat emosi harapan: mohon diperbaiki lagi",SADNESS
500,"Cepat n gak ribet. Hanya di rumah, komsul dokter, diagnosa keluar, diresepi obat... Dan obat pun sampai di rumah. Thanks halodoc",HAPPINESS
501,Halodoc sangat membantu ketika anak saya sedang sakit dikondisi weekend ataupun libur panjang seperti nataru ini dimana dokter banyak yg libur ataupun cuti halodoc selalu ready dengan banyaknya opsi dokter dan biaya yg variatif bahkan terjangkau 👍👍👍,HAPPINESS
502,sangat membatu sekali,HAPPINESS
503,Kerem dokter2nya fast respon,HAPPINESS
504,"medex kurir lelet kaya jamet!!! ini kenapa halodok lelet banget ya kurir obat nya, udah tau lagi buru-buru, butuh obat. gak bisa berkata kata lagi dah",ANGER
505,sangat membantu jika ingin konsultasi ke dokter secara cepat,HAPPINESS
506,Membantu sekali buat konsultasi tanpa ribet kapan pun dan dmana pun 👍,HAPPINESS
507,"Sangat memudahkan orang sakit. Semoga siapapun yang terlibat dalam start up ini mendapat amal jariyah, aminnn...",HAPPINESS
508,"Aku baru pertama konsul,kurasa aku cocok konsul di sini",HAPPINESS
509,Memuaskan,HAPPINESS
510,FAST respond,HAPPINESS
511,Terimakasih hallo dok sangat membantu,HAPPINESS
512,Saya kecewa dengan aplikasi ini saya sudah pesan obat dari tanggl 11 dan perkiraan sampainya di tanggal 15 juli dan hingga sekarang tanggal 17 obatnya belum byampe apa nunggu pasien meninggal dunia?,SADNESS
513,"Menggampangkan untuk kaum yg malas antrian,sangat membantu sy dan dokter2 nya sangat berpengalaman.. terimakasih halodoc,kalo ga ada halodoc mungkin ga bakalan berobat saking malesnya antrian..",HAPPINESS
514,Ke dokter tanpa perlu antri,HAPPINESS
515,Pengalaman sangat buruk dengan dokter yang tidak kompeten,SADNESS
516,"Aplikasi tidak cocok dengan tipe handphone saya. Bikin hp error. Niatnya nyari solusi malah jadi emosi gara2 aplikasi. Mohon diperbaiki, sakit saya keburu basi kalau error mulu gini",SADNESS
517,Masya Allah tabarokallah dokternya menjelaskan nya sgt detail jadi lebih paham deh sekarang sukses selalu 😊😊😊❤️,HAPPINESS
518,"Saran saya.. Tolong pembayaran nya bisa transfer via Bank (virtual acount) krn ga semua punya dompet digital,dll dan ga semua punya kartu kredit.. dompet digital trkadang lelet... Gw ga jadi konsul ke dokter....😢😊",SADNESS
519,Sulit digunakan!!!,SADNESS
520,Suka banget,HAPPINESS
521,Bagus sekali sangat memudahkan,HAPPINESS
522,overall bagus tapi sayangnya pemilihan pengiriman sangat sangat buruk dan mengecewakan driver atas nama abu saheri driver marah marah gajelas sudah dijelasin alamat tapi emosi gajelas kapok banget galagi lagi makasih,SADNESS
523,Sangat buruk sudah bayar untuk konsultasi tpi tidak bisa chat sama dokter sama sekali sampai waktu habis,SADNESS
524,"buruk bgt, ga rekomen. pesanan tb2 dibatalkan ama dokter nya 👎🏻👎🏻👎🏻",ANGER
525,terimakasi saya terbantu dengan aplikasi ini,HAPPINESS
526,"Semenjak tidak ada driver borzo di apotik halomedika jadi lelet pengiriman, borzo driver terbaik",SADNESS
527,Dr nya ok semua,HAPPINESS
528,Respon dokter sangat cepat dan tanggap terhadap keluhan pasien langsung memberikan solusi atau tindakan. Terimakasih dokter,HAPPINESS
529,Dokternya tanggap langsung,HAPPINESS
530,"Suka dengan pelayanan halodoc, proses cepat tidak ribet",HAPPINESS
531,enakan konsul ke halodoc hehe,HAPPINESS
532,"Buruk, saya ingin konsul dengan spesialis waktunya 30 menit. Namun di menit ke 10 sesi chat malah sudah berakhir.",SADNESS
533,saya tidak bisa mengirim chat lewat web. sehingga waktu saya untuk konsultasi berkurang karena web tidak berjalan dengan baik,SADNESS
534,Mudah buat ordernya dan cepat sampai,HAPPINESS
535,Mantap 👍kemudahan dalam konsultasi pengobatan,HAPPINESS
536,Pengiriman sangat mengecewakan Melewati batas estimasi Dikirim ke orang lain pula 🙄,SADNESS
537,obat asli dan pengantaran tepat waktu,HAPPINESS
538,"pembelian pertama semoga obatnya cocok dan bisa lekas sembuh, cukup membantu karna sbelum membeli obat di konsultasikan terlebih dahulu dengan dokter spesialis nya",HAPPINESS
539,Langsung mendapat resep yg bagus,HAPPINESS
540,"Sangat puas dengan jawaban dari dr spesialis anak, terima kasih halodoc",HAPPINESS
541,Cukup membantu ketika tidak bisa keluar rumah,HAPPINESS
542,Halodoc Sangat membantu sekali....,HAPPINESS
543,"Saya membayar untuk berkonsultasi dengan psikolog, tapi sampai sesi berakhir psikolog tidak membalas chat saya dan saya tidak mendapat kan solusi dari masalah saya.. Uang saya terbuang sia sia",SADNESS
544,"Sangat membantu,, dan praktis,, sehat selalu untuk kita semua 🙏",HAPPINESS
545,"alternatif untuk kaum mager, bisa konsultasi di rumah saja",HAPPINESS
546,Terimakasih atas pelayanan nya,HAPPINESS
547,"PENGANTARAN PAKET LAMA, LEMOT, OBAT TDK KUNJUNG DATANG, TERCATAT UANG BELUM DIKEMBALIKAN!",ANGER
548,Bagus dan ramah2 dr nya.,HAPPINESS
549,Sangatt membantu sekali Trima kasih halodoc,HAPPINESS
550,Memuaskan penjelasan dokternya,HAPPINESS
551,Aplikasi kesehatan terbaik,HAPPINESS
552,Aplikasi nipu masa udh dibayar tapi gabisa chat dg dokter nya trs dananya ga dikembalikan udh hampir sebulan. Aplikasi penipu bodong mending alodoc jauh drpada aplikasi ini . BURUK BANGET GAK REKOMEN SAMA SEKALI,ANGER
553,"darurat kecelakaan mau bayar malah suruh konsul ke dokter dulu. darurat. pembayaran di bank2 itu aja. dihubungkan ke shopeepay gak bisa2 eror, ini aplikasi kesehatan lo.",SADNESS
554,Good aplikasi,HAPPINESS
555,Tidak bisa mencarikan apotek yang 1 resep itu tersedia semua obatnya. Kalau beda2 apotek jadi mahal ongkir,SADNESS
556,Terbantu sekali saat tidak bisa k Rs karena berbagai hal,HAPPINESS
557,"Pemilihan apotik terlalu jauh, selain ongkos kirim nya mahal, juga kasian yang ngirim",SADNESS
558,Konsultasi dokter jd lebih mudah sama Halodoc 🫶🏻,HAPPINESS
559,membantu sekaliiii semua permasalahan kulit saya yg super sensitif.. tengah malam sekalipun sy bisa konsul sama dr reti anggraeni SpDVE,HAPPINESS
560,Konsul dihalo dok sngt puasssss,HAPPINESS
561,Konsultasi saya cancek karena dokter tidak menerima room chat sangat lama. Tapi tidak ada pengembalian dana. Rugi,SADNESS
562,"Kapok banget pakai halodoc. Selain biaya mahal untuk cek lab, dokternya terlalu cepat mendiagnosis, mana salah kasih surat rujukan juga. Tidak diberi obat untuk penenang gejala yg perlu surat rujukan juga. Saya udah berusaha buat menyampaikan keluhan ini ke admin, tapi nihil gak ada kabar apa2 lagi. Kalau ada apa2 sama saya juga halodoc ga tggjwb kan. Padahal kondisi saya semakin memburuk. Lebih baik periksa secara offline saja, sudah pasti. Halodoc payah sekali pelayanan dokter dan adminnya!",ANGER
563,lumayan membantu.. saya pengguna dr 2019an.. dan selalu cocok..terimakasih halodoc,HAPPINESS
564,Baguw,HAPPINESS
565,"Uninstall aja kalo menurut gue ni aplikasi kalo emng kalian lagi butuh konsultasi segera, karena dokternya nggak ada yang respon hanya buang waktu. Mending langsung bawa ke RS setempat ya jangan ke aplikasi ini pasti rugi udh bayar buat Konsul tapi nggak dibales sama dokternya",ANGER
566,"Jangan seenaknya kasih sp ke dokter yang menyuruh pasirnya beli obat di luar apk kalau obat tersebut tidak ada di apk,",ANGER
567,Respon cepat dan resep obat bagus,HAPPINESS
568,mudah pemakaian aplikasinya,HAPPINESS
569,"Diperangkat saya Poco F4 Versi android 13 malah ngeframe parah, selalu begitu, setelah install aplikasi ini selalu ngfarme seperti error hp saya tolong diperbaiki lagi software nya",SADNESS
570,dokter ramah dan fast respon. terimakasih 😊😊,HAPPINESS
571,Tidak bisa pakai ovo dan isi saldo dmn,SADNESS
572,"Apk nya ga guna, saldo kepotong, tapo ga bisa chat sama dokternya",SADNESS
573,Aplikasi penipuan ini. Ditunggu2 obat yg dipesan eh ternyata malah resep yg dikasi. Harga mahal lagi. Costumer service nggak ada. Aduh nyesal instalnya,ANGER
574,"tolong banget ya ini jasa pengirimannya tolong bangettt tambahin ekspedisi jnt atau yg lain, jangan shipper aja, jujur ya lama banget datang obat, keburu meninggal orang kalo gitu",SADNESS
575,trimakasiih halodoc.. sangat membantu sekali karna pada saat sakit tidak bisa keluar rumah pesan halodoc pengiriman cepat gak ribet..🙏😊👍👍👍👍👍,HAPPINESS
576,Bagus banget,HAPPINESS
577,terbaikkkkkk memudahkan 🥰,HAPPINESS
578,Fast respon...,HAPPINESS
579,"penanganan orderan kacau, sudah menunggu lama hampir 1 jam dari sop pengiriman, tiba tiba di batalkan padahal status sudah di pick up kurir pengantaran ! lapor cs seperti biasa template saja.",SADNESS
580,Praktis dan membantu,HAPPINESS
581,dikasih waktu 30mnt konsul tapi cuma telat chat dokter 15 mnt ko udah berakhir konsulnya? sia sia duit gue mana itu duit minjem ke temen lagi sumpah sakit hati bgt,SADNESS
582,Dokter²nya baik dan sangat² marah,ANGER
583,Dokter ramah keluhan kita di degar dengan baik,HAPPINESS
584,"belum chat sama dokter, malah sesi udah beres. blm konsul apa2 juga anehhh. duit dibuang begitu saja gajelas",ANGER
585,ok respon cepat,HAPPINESS
586,Dokter nya ramah dan respon nya cepet,HAPPINESS
587,Apk SAMPAH!! MANA YG KATANYA 24JAM? PESANAN SAYA BLM SAMPE JUGA!! PDHL PAKE YG EXSPRESS,ANGER
588,"wah.. dokternya mantep, jelas,",HAPPINESS
589,ngecek pesanan obat di halodoc bgaimana ya? obatku belum sampai pdhal sudah lewat tgl perkiraan sampainya,SADNESS
590,Suka bangett tapi waktu nya kurang lama,HAPPINESS
591,Aplikasinya sangat membantu dan dokternya juga bagus2,HAPPINESS
592,Kompeten,HAPPINESS
593,Di upgrade aplikasi bukannya makin bagus makin lemot mau pembayaran aja loading mulu sampe gak bisa bayar,SADNESS
594,Cepet balesnya 🤗,HAPPINESS
595,"Bagussss, dokter nya ramah",HAPPINESS
596,"Gue bingung, paket obat kirim pake instan tapi kenapa drivernya kirim beberapa obat ke customer lain juga🙏🙏 saya nunggu driver sampai aja lama bgt, coba deh cekkk supply chain nya gmn",SADNESS
597,keren banget,HAPPINESS
598,"sangat amat membantuuu, dari gerd trs jerawat semua terlayani dengan PUAS",HAPPINESS
599,"Sejauh menggunakan aplikasi ini, tidak pernah mengecewakan",HAPPINESS
600,Tepat waktu driver nya antsr obat..n dokter fast respon,HAPPINESS
601,Pelayanannya baik ramah.👍👍,HAPPINESS
602,Good job,HAPPINESS
603,Sesuai harapan,HAPPINESS
604,"sangat sangat merugikan konsumen, saat akan beli vitamin dengan 2 merek yg berbeda harus menggunakan 2 kurir pengiriman nya?! DAN ONGKIRNYA MAHAL SEHARUSNYA BISA BELI DI TOKO YG SAMA Tanpa MENGUNAKAN 2 KURIR ! DASAR KAPITALIS Perusahaan YG DI BELI ASTRA CINA PASTI AKAN KAPITALIS !",ANGER
605,Ada beberapa obat yang halo doc tidak menyediakan,SADNESS
606,Mantapp lah,HAPPINESS
607,"Saya kesel banget sama aplikasi ini. Saya udah keluarin uang tapi pas konsultasi dibales sama dokternya juga engga. Dana ngga bisa direfund lagi. Kalau spt ini yg dirugikan pasien. Tolong lah perbaiki sistemnya dulu. Seharusnya pembayaran boleh lah di awal. tapi uang masih dicekal, nanti baru uang bisa dilepas kalau dokter dan pasien sama"" klik konfirmasi selesai. Kalau dokter ga ngeklik selesai, pasien boleh komplain harusnya. karena artinya dokternya gak aktif, atau ninggalin.",ANGER
608,"Mengecewakan, uang saya hilang begitu saja ketika melakukan pembayaran melalui astrapay dan pesanan dibatalkan, mana saldo berkurang lagi dan tidak dikembalikan, entah hilang kemana, alhasil pesan ulang melalui dana.",SADNESS
609,memudahkan dalam konsultasi dokter,HAPPINESS
610,"Sangat membantu sekali buat beli obat,cek kesehatan,konsultasi kesehatan nya.buat yg malas keluar Rumah.",HAPPINESS
611,"Yang bener aja, masa konsultasi cuma sebentar belum sampe 30menit langsung selesai? Mana dokternya lama respon terus ke log out jadi waktu nya kebuang percuma. Mikir lah udah bayar tapi gak sempat Konsul apa apa? Kecewa banget gue sumpah",SADNESS
612,Ya lumayan pemberitahu informasi dari apk halodoc dari dokternya juga bagus terimakasih,HAPPINESS
613,Banyak spam notifikasi promo,SADNESS
614,"Mantapp, bisa diandalkan ketika genting.",HAPPINESS
615,"Very bad, apotek tutup tapi tidak bisa cancel pesanan, jadi nya ganti driver terus udah datang jauh2 malah tutup",SADNESS
616,Konsultasi dng dokternya sih sdh oke. Tapi obat yg sering kosong diapotik mitranya itu yg bikin kesal. Ditambah layanan Heidy yg minta sabar menunggu sampai 3jam dan taunya tetap zonk. Tolong mitra apotiknya distandarisasi obatnya. Saat ini 18feb2023 jam 8.25 komplain saya masih berlangsung dng callcenter Heidy halodok. Dan belum ada solusi,SADNESS
617,"Semuanya bagus dan mudah, tapi yang ga mudah itu nebus obatnya butuhnya sekarang tapi adanya ditempat yang jauh butuh berhari2 untuk sampai, kenaap obat yang membutuhkan resep dokter hanya boleh di ambil di aplikasi? Kan ga smua kota ada apotek yang terafiliasi sma halodoc apalagi kota kecil, jadi kaya percuma sakitnya kapan minum obatnya kapan",SADNESS
618,"Saya kesal dengan aplikasi ini, karena balasan dokternya sangat lama sedangkan tenggat waktu konsul sangat sebentar. Diulang lagi konsul dengan dokter lain juga begitu. Saya hanya ingin tebus resep dokter yg saya dapat. Tapi malah seperti dipersulit.",SADNESS
619,Layanan pengiriman buruk. Konsultasinya okey tp pengirimannya lelet sekali buruk. Pesan dari jam 4 sampe jam 6 sore baru otw. Harusnya langsung ada pilihan apotek mana yg terdekat lalu dihubungkan dg aplikasi Lalu order langsung. Cuma beli obat nunggunya lama sekali,SADNESS
620,"Aplikasi ini sangat membantu ketika kita sakit, terimakasih Halodoc",HAPPINESS
621,Gw kasi tau buat kalian Saya uda pernah coba jasa ini 1. Diagonisa ny tebakkan Dokter splsialis umum sama aja 2. Resep ny saling berlawanan tabrakan Masa obat auato imut di minum bareng smaa Vitamin daya tahan tubuh 3. Resep sama semua mau dokter mana aja Gw kira keriris tnyata sama kaya boot komputer Jawaban ny umum gk spespik 4. R3sep ny sampe 10 piel salap nya sampe 3 salap di pake minum tiap hari Real keejaan dokter jual obata itu nyataa Mnding berobat ke malaysia Kalo ada dana,ANGER
622,Ribet ruwet,SADNESS
623,"respon dokter lama, waktu sudah berakhir baru muncul notif, ga guna buangw uang",ANGER
624,Praktis dan sangat membantu 👍,HAPPINESS
625,Bagus dan fast respon,HAPPINESS
626,"Bagus ,untuk obatny apakah bisa yg twrdekat dari rumah k24 atau apa gtu",HAPPINESS
627,Baik dan cepat tanggap,HAPPINESS
628,Sangat bermanfaat,HAPPINESS
629,Terimakasih kepada ap. Halodoc yg SDH membantu saya dalam konsultasi masalah kesehatan dengan dokter2 hebat. dan ini sangat membantu. Terimakasih.,HAPPINESS
630,Suka bngt respon dokternya cepat bngt❤️,HAPPINESS
631,"Punya voucher tapi tidak bisa dipake jadi percuma ,keterangan vocher tidak berlaku padahal ini voucher dari gojek gajelas halodog",SADNESS
632,Membantu untuk pilihan urgent.,HAPPINESS
633,"Dokternya sangat baik dan ramah menjawabnya, tks dokter",HAPPINESS
634,Dokternya cepat untuk balas chat,HAPPINESS
635,"Kecewa parah sih, udh konsultasi sama dokter, di kasih resep, saya langsung pesan resepnya, nunggu nunggu nunggu malah pesanan saya di batalkan, aneh baget dah, 2 x kek gini, kecewa banget",SADNESS
636,"Pelayanan nya sangat2 buruk, pesanan saya estimasi nya 29 juli 2024 dan sekarang 13 agustus tpi belum nyampe2, saya WA customer service nya mala gk di jawab apa2, nyesel saya konsul di apk ini.. apa jngn2 dokter yng di dalam apk ini dokter gadungan semua? Atau kalian itu yng komplotan penipu nya!!!",ANGER
637,"dokter nya tidak slow respon,,dan sangat menghargai pasien.",HAPPINESS
638,Pesan obat. Ternyata dari denpasar apoteknya ke mamuju smpainya 6 hari. Mantaplah halodoc,HAPPINESS
639,dokternya baik dan ramah,HAPPINESS
640,Dokternya respon baik dan memberi penjelasan lengkap,HAPPINESS
641,Mau ganti asuransi aja sulit,SADNESS
642,Alhamdulillah sangat membantu,HAPPINESS
643,"Ga jelas,pesen obat via halodoc lama banget,sampai sekarang ga sampai 👎",SADNESS
644,"Layanan cepat, barang sampai kisaran waktu 1 jam setelah pesan. Free konsul juga kalau harus resep dokter. Kebantu banget 🫶🏻",HAPPINESS
645,"Mesen obat yg kadang susah nyari di apotek kecil, bantu banget",HAPPINESS
646,"Dokter sigap, pelayanan baik",HAPPINESS
647,pengiriman cepat dan sangat membantu,HAPPINESS
648,Jawaban dokterny bagus. Saya bisa mencoba nasihat dokténya,HAPPINESS
649,"Aplikasi nge frezze terus , mesti di hapus data baru bisa dibuka lagi , padahal dulu lancar , mohon di update bug nya.",SADNESS
650,Susah error 😡😡😡😡😡😡😡,ANGER
651,Sangat membanntu untuk penanganan awal,HAPPINESS
652,"awal pertama pesan obat memang oke, tp pembelian ke 2 pesanan saya dibatalkan tetapi sdh 1 bulan sejak pesanan dibatalkan tidak ada pengembalian dana masuk di mbanking saya padahal distatus pengembalian dana selesai tetapi saya tidak menerima",SADNESS
653,"Sudah chat dengan dokter selama 1 jam namun sudah 2 kali tidak ada kejelasan lalu ganti dokter masih tetap tidak ada kejelasan, lebih baik ke rumah sakit. Seandainya konsultasi diperpanjang lebih dari 1 jam mungkin lebih maksimal, karena saya sudah tanya ""BAGAIMANA TINDAKAN DAN OBAT YG HARUS DIKONSUMSI?"" namun semuanya hilang tanpa kejelasan karena terbatasnya waktu, seandainya ada orang sekarat di desa mungkin sudah mati karena rumah sakit jauh dan aplikasi ini tidak bisa diandalkan",SADNESS
654,"Kenapa ya setiap mau membeli obat, ketika lihat keranjang selalu error?",SADNESS
655,"dokter tidak fokus , bbrpa kali jelaskan kondisi anak lemas , jawabannya ""adik sudah tidak lemas kan bu, jd aman"", dan di suruh cepet ke IGD supaya tidak panik,bukan karena kondisi anak bla bla bla... pdhal pilih yg spesialist pengalaman belasan tahun rating tinggi, jawaban tidak memuaskan",ANGER
656,Respon lama dan seperti Chet dengan bot,ANGER
657,Pelayanan yg baik,HAPPINESS
658,Cepat tanggap,HAPPINESS
659,"Cepat dan akurat, fast respon dokter online nya",HAPPINESS
660,"Aplikasi yang sangat membantu, Terimakasih halodoc",HAPPINESS
661,Holodoc aplikasi yg dokternya sudah profesional & berpengalaman.Janga ragu kunsultasi dokter diHalodoc..tq,HAPPINESS
662,Saya sangat puas,HAPPINESS
663,Dr.nya baik dan fast respon,HAPPINESS
664,Singkat padat sehat,HAPPINESS
665,Aplikasi sangat buruk di kala urgent tak bisa d andalkan,ANGER
666,"Selama blm perlu ke rs, aplikasi ini sgt membantu, terimakasih banyak",HAPPINESS
667,Pengiriman obat lama. Dilacak obat masih saja disiapkan. Sudah tidak bisa dibatalkan lagi. Ga jelas chat bantuan juga yg jwb robot.,SADNESS
668,"Masih sedikit rumah sakit yang bekerja sama, RS Efarina pangkalan kerinci belum.",SADNESS
669,"Dokternya baik , cepat dan ramah",HAPPINESS
670,Aplikasi sangat bermanfaat,HAPPINESS
671,ongkirnya mahal...hheee,SADNESS
672,"good ,bermanfaat dan mudah di gunakkan",HAPPINESS
673,Membantu sekali saat tidak bisa keluar rumah,HAPPINESS
674,Tidak ada metode QRIS dalam metode pembayaran nya,SADNESS
675,"Saya pikir pesan obat instant lewat halodoc lebih cepet, tapi udah 1 jam lebih gk datang2 sesuai estimasi waktunya. Gak tau kendala di apotek apa drivernya. Sangat kecewa",SADNESS
676,Pengiriman buruk,SADNESS
677,Ramaaah sekali dokternyaa,HAPPINESS
678,Mudah...,HAPPINESS
679,Keren detail bgt,HAPPINESS
680,sangat membantu dan mempermudah,HAPPINESS
681,Memudahkan dan Bermanfaat,HAPPINESS
682,Praktis dan cepat,HAPPINESS
683,"aplikasi mantapp,sangat membantu..",HAPPINESS
684,Dokter responya cepat trimah kasih,HAPPINESS
685,dokternya bestt,HAPPINESS
686,sangat membantu saya dalam keadaan emergency di waktu2 yang sulit untuk ke klinik,HAPPINESS
687,"sangat"" membantu, resep obatnya juga jodoh sekali minum langsung enakan Alhamdulillah",HAPPINESS
688,Tidak bisa mengirim foto,SADNESS
689,Aplikasi appan setelah di update malah ngak bisa di buka,SADNESS
690,mempermudah untuk konsultasi dengan semua spesialis dokter,HAPPINESS
691,Tidak bisa diandalkan,SADNESS
692,"terimakasih halodoc, lewat halodoc alhamdulillah kulit aku yang jerawatan bisa mendingan banget 🤩🤩🤩",HAPPINESS
693,harus bgt pesen obat di apps lo??? mikir tolol,ANGER
694,jaringan tidak stabil saat melakukan konsultasi via chat,SADNESS
695,Sangat amat membantu,HAPPINESS
696,Sangat membantu dan praktis,HAPPINESS
697,aplikasi ini memantu sekali,HAPPINESS
698,"Sangat membantu jika sedang sakit tidak bisa keluar rumah, terimakasih",HAPPINESS
699,Mantap...,HAPPINESS
700,"Aplikasi haram, Gelar dokter masih ngemis duit di aplikasi Perbaiki sistem kalo perlu beri tombol report, udah dibayar tujuan biar dapat konsul malah baru dichat langsung offline, meskipun entah hanya 20rb, 50rb atau lebih banyak itu tetap uang bagi kami. 50rb bagimu mungkin gk seberapa tpi bagi orang lain beda!!",ANGER
701,"tolong dong adain fitur untuk drive yg ngirim obat, klo udh ambil orderan obat tu jangan di cancel, jdi tolong adain fitur untuk tidak bisa meng-cancel orderan.ini sangat merugikan saya bngt, saya lagi butuh obat cepat tp malah di cancel trs krna hujan",SADNESS
702,"Mau beli obat lagi butuh banget pas mau checkout malah loading terus, sinyal aman, hp anti lelet, mungkin aplikasinya?",SADNESS
703,"mending ini dehh klok pasien gk hadir dikonsul uangnya kembaliin aj, soalnya rugi juga klok cuma ditunggu sepuluh menit kan pasien kadang juga ad kesibukan atau ap dari pada buang"" uang",ANGER
704,"Sangat membantu disaat sedang dalam kesibukan, dan dokter nya pun cepat respone nya",HAPPINESS
705,Respon dokter cepat,HAPPINESS
706,Sangat bagus cepat dan tepat,HAPPINESS
707,pengiriman sekarang lama. dr estimasi molor 40 menit. dan kurir digabung dalam 1 pengiriman. dulu menggunakan gojek bisa cepat. sekarang lama. mengecewakan,SADNESS
708,"Sangat membantu, dokter sangat ramah dan obat yg di resep kan sangat bagus",HAPPINESS
709,Sangat membantu terimakasih halodoc,HAPPINESS
710,"the best konsultasi.ga perlu ribet ke RS or klinik,konsultasi online begini sangat ngebantu.dokter nya welcome,ramah,ga keburu akhiri konsul nya..",HAPPINESS
711,pertama kali konsul online. tapi memuaskan. dokternya baik. semoga saya bisa sembuh dengan obat yang diresepkan,HAPPINESS
712,Apk tipu tipu,ANGER
713,ok banget,HAPPINESS
714,Mempermudah konsultasi dan peresepan obat serta penebusan obat dimanapun kapan pun,HAPPINESS
715,"pertama kali konsul disini, meskipun virtual tapi vibesnya kaya secara langsung. dokternya fast respon, tidak bertele tele",HAPPINESS
716,aplikasi ga guna order dokter nya malah gbs connect ke chat room nyaa nyesel bet gw download,ANGER
717,"Sakitnya sekarang, obatnya dikirim tau kapan. Harusnya ada pemberitahuan untuk pengiriman sebelum payment. Untuk reguler bisa sampai 3 hari sampainya. Orang sakit yaa butuh obat buat hari itu juga, masa iya harus nunggu obatnya sampe beberapa hari.",SADNESS
718,Kenapa app nya loading bgt pdhl gak ada masalah di internet dan hp nya tp appnya lemot bgtt,SADNESS
719,"Asal pilih Apotik aja,,, Gak tau di apotik yg di pilih obatnya gak ada ,, dan gak pernah Update. Kasihan drivernyaa",SADNESS
720,Terima kasih halodoc dan dr marshell phang 👍👍,HAPPINESS
721,"Status pengiriman ga jelas, awalnya sudah dikirim dan dilacak paket nya sudah mau diantar. Eh tiba tiba statusnya balik lagi ke jadi terkonfirmasi",SADNESS
722,"Aplikasi yang sangat membantu buat yang punya masalah jerawat, Konsul langsung dikasih rekomendasi skincare dan resep obat",HAPPINESS
723,sangat sangat tidak cocok untuk orang miskin dan tidak punya hati nurani sama sekali dan astagfirullah emang Lo tes mental gratis lewat web tapi ahli psikologi nya mahal banget astagfirullah gak tahu ngomong apa lagi,ANGER
724,APLIKASI YG SEKARANG BINGUNG MAU CHT DR NY !!,SADNESS
725,Aplikasi membantu. Dokter nya ramah,HAPPINESS
726,suka dengan aplikasinya,HAPPINESS
727,sangat membantu dan Dr ramah2,HAPPINESS
728,Aplikasinya membantu,HAPPINESS
729,Saat ini baik,HAPPINESS
730,enak aplikasi sdh di perbaiki. konsultasi mudah dan dapat dilakukan dimana saja,HAPPINESS
