review_text,majority_vote
sangat amat membantu,happiness
"Masih mencoba, semoga cocok dan berkelanjutan",happiness
Best,happiness
"Aplikasi merugikan driver, jauh2 ke titik pangambilan, obat yg di pasan customer malah ga ada, pegawai apotiknya dgn entengnya cuma bilang minta maaf ,,, harusnya kalau mau di online, stok obat harus update, apk buat saya sangat merugikan, karena saya sudah sering dpt orderan ini, stok obat habis,...",anger
Sangat puas penjelasan sangat jelas terimakasih dok 🙏,happiness
Drnya ramah dan fast repon,happiness
Pelayanan super mantap,happiness
"Baru pertama kali nyoba konsultasi, tapi kecewa sekali bayar tapi ga dapet apa-apa, konsultasi cuma di baca ga di respond sama sekali sampai sesi konsul abis. Saya konsul ke dokter spesialis anak. dr. Maria priskila Sp. A. Ga profesional.",sadness
maaf ya tak kasik bintang 2 soal nya saya sama sekali ga bisa daftar akun di halodoc,anger
Baik sekali,happiness
Sangat membantu bagi orang sakit yang tidak bisa kemana-mana,sadness
"Catatan pada alamat pengiriman tidak tercata di aplikasi gojek nya, jadi abangnya bingung nyari alamatnya. Mohon untuk segera di perbaiki bugs nya.",sadness
Konsutasi nya cepat dan nyaman,happiness
"Utk keadaan emergency sangat berguna, seperti diare, salah pake obat tetes mata,yg dipakai tetes serum rambut. Kecipratan air panas pada mata, dll. Sangat membantu sekali. Terimakasih",happiness
Gak guna,anger
Ramah,happiness
CEPAT dan Efisien,happiness
"dokternya gercep mantul pelayanannya, smoga obatnya cocok",happiness
bagusihh,happiness
Ternyata sangat mudah Konsul di aplikasi ini.... dokternya ramah²...kereenn👍👍,happiness
"Udh 3x konsultasi DSA baru chat 4 baris aja udh ngilang sampai sesi selesai, bukan berarti gak mampu untuk ke DSA secara offline tapi kan second option diskusi. Mayoritas DSA nya pada slow respon, gak ada solusi bahkan terakhir menghilang gak ada chat. Uninstall selamanya",sadness
"Makin kesini makin gak jelas nih aplikasi, masa udah bayar tapi dokter nya gak respon sama sekali.. Tiba tiba offline padahal pembayaran sdh terpotong.. 🤬🤬😡",anger
"Sangat disayangkan, sudah berbayar tapi tidak bisa minta resep puyer. Resep obat kayak terjemahan google",sadness
sangat terbantu untuk yg rmh nya jauh dr tmpt berobat,happiness
"ribet mau pesen obat ajh, sampe muter². dan 4 kali konsul ga beres²",anger
"suka sekali dgn hallo doc,dengan rebahan pun kita bisa konsultasi dokter specialist berpengalaman dengan trade record dokter yg komplit jd kita bsa tau,dokter spti apa yg kita butuhkan.👍👍",happiness
Sangat membantu sebagai anak rantau dan anak kosan 🙏🏻,happiness
"Tanggapan dokternya cepat, gk neko neko sesuai point",happiness
Ribet bikin susah,sadness
Praktis,happiness
"Respond cepat, dan barang yang dipesan sesuai",happiness
"Sangat berguna waktu sakit dipedalaman yg tdk ada dokter spesialisnya. Resep obat bisa ditebus di apotik kota terdekat, thanks halodoc🙏",happiness
Gatau kurang puas aja sama dokternya kita kan cuman di kasih 30mnit ya dan waktu konsul tuh dokternya super lama banget jawabnya jadinya gk bener bener puas,sadness
Bagus dan cpt tanggap,happiness
Dokter ramah dan pelayanan bagus,happiness
ribet!,anger
"Untuk pelayanan dokter baik tidak ada masalah, tapi untuk pemesanan obatnya sangat bermasalah. Saya nunggu dari malam sampai pagi karna berpikir malam apotek yg menerima resep sudah tutup jam operasional, ini sampai pagi belum ada kemajuan respon. Diaplikasi status ada driver yg sudah ditugaskan tapi ketika live tracking tidak ada, alias di cancel oleh driver. Tidak ada info apotek mana yg menerima resep jadi susah mau hubungi kemana",anger
"Belum terintegrasi dg lokasi perangkat user. Saat surfing dokter terdekat dg perangkat aktif, dikasih opsi dokter RS Singapura/Australia.",sadness
Doktor responsif.. Fast respon..,happiness
"Keren, bisa sembuh tanpa antri",happiness
"Cepat pelayanannya, dan memuaskan",happiness
"Mei 2025 aku konsul sama dokter masalah rambut rontok, hasilnya NGGA NGEFEK SAMA SEKALI. Barusan, aku coba buat pake aplikasi ini lagi karena mungkin yang salah bukan di aplikasinya. aku cari di pencarian ""masalah rambut rontok"" keluar dokternya dengan gelarnya yang ngga mungkin saya hafal sampe saya tau klo itu bukan dokter kulit . Karena semua dokter gelarnya sama jadi saya ngga curiga. Eh pas masuk room chatnya malah salah dokter. Katanya beliau dokter saraf. KONSULTASI HASIL NYA NOL BESAR",anger
Kecewa bngt padahal udh bayar tpi gk online online 😭,sadness
Mempermudah dalam menangani sakit tanpa harus tenaga ekstra,happiness
sangat memuaskan,happiness
Kalo untuk mintasaran harus pertolongan pertama dan harus kemana biar tepat.. udah palinng bener tanya dulu kedokter2 kesini,happiness
"Alhamdulillah sangat sangat membantu, fast respon",happiness
"Baguss, berguna banget",happiness
"Cepat memberikan pelayanan, pelayanannya baik sekali. Sangat membantu saat kondisi urgent",happiness
dokternya super ramah,happiness
trimakasih halodoc sangat membantu sekali,happiness
Pesanan cepat dan packingan tertutup rapat dan rapi,happiness
mudah tidak repot harus keluar rumah,happiness
"sangat membantu saat tidak bisa pergi ke dokter dan memerlukan konsultasi , membeli obat dari rumah",happiness
Respon yang baik dan cepat,happiness
tolong waktu utk sesi konselingnya ditambah udah bayr 51 rb lima kali chat eh waktu habis... lukira gue bayar pake daun apa... pake duit tau... sontoloyo...,anger
nyaman...mudah,happiness
"Walau harga ongkirnya sdkt mahal, dan hrga obatnya jg, tp krna mudah dan cepat sgt membantu, kdg2 jg suka ada diskon borongan beli banyak. Dokternya jg baik2, walau kdg suka keputus pas lg konsultasi mgkn koneksinya. Tk Halodoc!",sadness
Ga bisa di download,anger
mudah dan dokternya sat set,happiness
"Setelah update aplikasi malah rusak parah, pengaruh ke operasional handphone malah",anger
mantab,happiness
"Sebelum konsultasi kita diwajibkan bayar dahulu, pengalaman buruk tadi pagi istri mau konsultasi setelah bayar 50rb tidak kunjung terhubung dengan dokternya alasanya sibuk, akhirnya uang 50rb hangus gak dapet apa2, giliran mau konsul ke dokter lain kita harus bayar 50rb lagi, coba bayangin kalau kita konsul ke aplikasi halodoc 5x gagal terus 250 raib gak dpt apa2,, TOLONG DI PERBAIKIN SISTEMNYA",sadness
"jujur sy bru pertma kali mnggunkn apk in, tapi sngt kcewa aplgi saya d luar kota, masa paket 4 hri trhambat d pngiriman d jkt, dn smpai d timur kota tmpt saya pketny tdk ad sama sekali di kantor ekspedisi, dan saya sdh coba hubungi CS halodoc tidak ad respon sama sekali, sangat sayang sekali pdhl tmn' sy yg rekomend apk in utk sy tpi pnglaman prtma yang buruk llo bs d rating minus saya rating minus",anger
Pelayannanya sangat baik saya sangat puas👍👍👍,happiness
"kalo masalah konsul dokter gak paham,,yg jdi masalah pesan obat tpi gak sesuai ama yg digambar dan di deskripsi cukup sekali ajh donlod apk ini",anger
Mantappp,happiness
pertolongan pertama,happiness
GRATIS DARIMANA?!! BAYAR KOPLOK!! NYESEL GW DOWNLOAD MALAH HARUS BAYAR DOKTERNYA..,sadness
"Mudah dan cepat, cuma , Lbh mahal ongkir nya drpada obat nya",sadness
"Di tlp tdk bisa nyambung terus. Pengiriman obat 1 minggu lebih, telalu lama",sadness
"Sangat sangat tidak rekomendasi apalagi CS nya... Beli obat lama banget, sudah di konfirmasi sebelum jam 10 tapi apotiknya sampe tutup tidak kunjung dikirim sampai 1 jam lebih kurir sampe ganti berulangkali tapi sayang ga ada menu pembatalan",sadness
Tidak memuaskan,sadness
Ini app penipuan atau gimn?? Atau nunggu firal di tiktok dl kali ya baru di benarin pelayananya kita bayar biaya chat itu ga serapa sih dan berharap bisa konsultasi dengan dokter yg kita byr setelah bayar dokternya ilang begitu muncul sibuk mau chat dgn yg lain hrs byr lagi kayanya niat banget ya...,anger
pelayanan bagusss,happiness
goodlaah,happiness
"Baru kali ini kecewa make halodok, alasan driver ga bs ambil obat krna hujan, sdgkn sy udah meriang. Mau dicancel jg gk bisa!!",sadness
Membantu dan baik sekali konsultasinya,happiness
Sangat membantu ketika tidak bisa prgi ke dokter secara langsung,sadness
"Halodoc skrg.. respon dokter nya lambat, apotik yg dipilihnya seringnya kejauhan, kurirnya pun lelet.. pdhl sblm2nya aku ga pernah sekecewa ini, sdh pake halodoc 3 thn ini, tp ini dah 2 kali terakhir aku kecewa bgt.. tlglah diperbaiki..",sadness
cepat tanggap dan tepat. halo doc oks,happiness
"membantu, terutama bagi yang memiliki waktu terbatas",happiness
"saya dari Mitra Grab, tanggal 14 Desember saya nganterin paket dari Halodoc kerumah konsumen dalam waktu 20 menit sudah sampai, 10 hari kemudian saya dapat notif suspend karna paket belum diterima, padahal dikonsumen notifnya sudah selesai, sekarang dari Grab diarahkan langsung ke Halodocnya, dan sampe sekarang ga ada kabarnya sama"" nyari rezeki dan sama"" ada kepentingan malah nyusahin yang ada ngambil paket dari Halodoc",anger
"Saya pengguna aplikasi ini cukup lama. Tapi baru² ini setelah diperbarui fitur² dalam aplikasi yg sebelumnya sangat bisa membantu saya malah hilang. Seperti kalender menstruasi dll. Padahal belum lama saya masih menggunakan fitur itu, sayang sekali karena catatan saya ada disana, tapi saat ini fiturnya tidak ada. Apa karena perangkat saya yg salah atau dari sananya. Saya harap fitur² tambahannya dapat dikembalikan lagi karena itu cukup penting untuk saya",sadness
"Alhamdulillah bagus. Bidannya juga gercep. Tp kadang kalau pas tengah malam suka slow respon, mungkin juga waktu istirahat",sadness
Oke lah..solusi cepat ngatasi kebingungan dan kepanikanku. DSA recomen Dr. Bayu best sih😊,happiness
cukup membantu,happiness
"SUSAH BGT SI MAU MESEN DOANG , GUA MAU KONSULL AJAA BUAT NOMER LAGII BARU , GMN DAHH GUA UDH MAKE NOMER ORG BACAANYA UDH DIPAKE HALODOC APANSI SUSAH BGT ORG MAU BEROBATTT ITU JUGA GUA BAYARR COK KALI SI ENGGAAA",sadness
Ramah dr nya dan sangat membantu. Kami yg di daerah terpencil...terima kasih,happiness
Kecewa sama dokter nya belum selesai ngomong sudah di tutup aja buang2 duit,sadness
"Ribet bgt mau daftar aja susah bbrpa kali ganti nomer ttp gabisa masuk daftar, nyusahin org ugent. Katanya gampang, gampang2 apaan!!",sadness
ga bisa dibatalin..ngubah metode pengiriman juga tidak bisa padahal perlu segera.,sadness
Sangat membantu..,happiness
Dokternya sangat membantu. Dapet surat rekomendasi juga,happiness
"UX nya buruk, harusnya kalau login jangan hanya pakai nomor hp, tambah akun lain kek kaya google / FB / lainnya, kan bagi yg nomornya biasa susah nerima kode verifikasi karena hp / kartunya rusak kan jadi susah, apalagi sekarang di akunku ada resep obat yg semuanya belum di beli, masa harus daftar ulang terus Konsul ulang, kan hambur uang",sadness
seruuuu,happiness
Dokter sangat ramah dan memberi edukasi sangat mudah di pahami,happiness
"kalo malem gak selalu stand by dokternya padahal profilnya online.. udah 2 kali kayagini. Alhasil cancel, tapi refund dananya lama banget. padahal urgent.",anger
Terimakasih sangat membantu saat butuh banget.,happiness
seneng banget sama apknya membantu sekali,happiness
Trima ksih dengn adany halodoc sngat mmbntu sya untk brfkir positif,happiness
Kenapa error terus 🤧,sadness
"Aplikasi nya fitur nya jelek, biasanya riwayat Konsul chat nya tidak hilang saat sesi berakhir, ini saya mau baca riwayat Konsul ulang dan mau lihat resep tidak bisa karna hilang 👎",anger
Ngebantu banget,happiness
sangat berguna sekalii,happiness
"Beli obat via apps, tapi apoteknya jauh sekali. Kirain bakal dikirim dari apotek terdekat walaupun beda kota. Saya tinggal di 1 kota di jawa tengah, tapi apotek di bandung.",sadness
berguna untuk asuransi yg di pakai,happiness
"Kecewa banget sih sama aplikasi ini, sebelum pembayaran dokternya online, tapi setelah pembayaran dilakukan dokternya malah offline, dan online lagi 2 menit sebelum sesi selesai. Padahal biaya yg dikeluarkan juga tidak murah :(",sadness
"Aplikasi halodoc nya sangat membantu bagi saya yang terlalu sibuk kerja. Saya menggunakan aplikasi ini dari awal tahun 2021, sangat mudah dan gampang untuk cara pembayarannya termasuk pembayaran via gopaylater. Untuk tahun ini 2023 pembayarannya sudah tidak bisa lagi pakai gopaylater, hanya bisa dilakukan pembayaran via gopay. Sangat disayangkan, berharap aplikasinya bisa ada pembayaran via apa saja. Mohon diperbaiki dan ditingkatkan lagi cara pembayarannya....",sadness
"aplikasi yg sangat membantu di kala sakit,dokter2x jg baik dan berpengalaman.",happiness
"Mudah,cepat,berpengalaman dokternya",happiness
"buruk sekali bagian Customer Service melayani keluhan pelanggan, sudah 3x lapor tidak ada penyelesaiannya, sudah uang hilang buruknya pelayanaan dari halodoc bikin kesal ID ticket 3572004, 3567953, 3567899 silahkan di cek kalau memang disini kalian bisa cek.",anger
Alhamdulillah senang dan puas dengan konsultasinya,happiness
"Kecewa sih, padahal saya search dokter sp.Gk tapi dokter Sp.A juga ikut muncul di list. Akhirnya saya salah pilih dokter dan ngga bisa konsul,melayang gitu aja uang saya😭😭😭😭",sadness
"Terima kasih halodoc.. halodoc sangat membantu,para dokternya cepat respon dan baik..",happiness
Obat komplit,happiness
Dr jaman Covid sudah konsultasi dokter tetep pake holodoc hingga sekarang..,happiness
Memudahkan dan dokternya sangat ramah,happiness
"udah bayar, respon dokternya g cepet. udah tulis keluhan. akhirnya sesi berakhir gitu aja. selamat menikmati uang nya",sadness
"dokter ny jelas menjelaskan ny ,trmksih halodoc",happiness
Dokternya gercep dan ramah,happiness
Saya sudah beli voucher 100 ribu tapi saat dimasukkan kodenya tidak bisa digunakan. Tiba-tiba kadaluarsa. Kecewa sekali !!,sadness
"Terima kasih sudah bekerjasama dengan astra life, semoga selalu bekerjasama",happiness
dokternya ramah2,happiness
The best,happiness
"Pengiriman barang tidak sesuai estimasi yang tercantum di aplikasi, estimasi 3 hari jd lebih, jelek sekali ini aplikasi, payah, ga profesional, ga usah jual obat aja, payah ga solutif",anger
Terpercaya dok ny membantu dan cepat pengiriman nya,happiness
"Kecewa dengan aplikasi halodoc ,pesan obat tiba2 di batalkan oleh sistem , kebetulan saldo sudah terpotong dikarenakan nomor yang saya pakai sudah mati ,sehingga diharuskan untuk urus nomor yang sudah mati dulu untuk pengembalian refund yang sangat ribet sekali padahal saya sudah hubungi cs tetapi tidak ada solusi sama sekali dan buang2 waktu saja",sadness
Biaya pengiriman mahal pdhl jarak dekat,sadness
Sangat Berguna di saat tidak bisa keluar rumah,sadness
Bguss bgt,happiness
"Lama banget drivernya, orang lagi sakit malah disuruh nunggu diluar panas panasan hampir 20 menit. Pesanan statusnya udah terkirim tapi belum diterima.",sadness
"Luar biasa apk ini sangat membantu sekali,",happiness
Layanan mudah cepat dan murah .. sangat bermanfaat dan membantu,happiness
"Dokternya baik baik , penjelasan jelass",happiness
Good Services,happiness
"Tolong kembali seperti dulu lagi, ada banyak outlet dimana-mana , jangan seperti sekarang dimonopoli oleh segelintir orang saja, kasihan para driver dan customer harus menunggu lama utk 1 orderan.",anger
good doctor,happiness
Terimakasih untuk respect nya semogah ada hasil nya dari resep dan saran nya...,happiness
"Pertama kali coba langsung tepat, sehari konsumsi obat langsung membaik",happiness
Pesana datang tepat waktunya terimakasih,happiness
Error saat transaksi pembayaran,sadness
Sangat membantu dokternya ramah,happiness
"Aplikasi ini sangatlah membantu 👍🏻👍🏻👍🏻 rekomendasi sekali kalau ingin konsultasi tapi tidak bisa keluar rumah, sehingga bisa konsultasi melalui media online yg disediakan oleh aplikasi ☺️",sadness
bermanfaat,happiness
Kenapa saya tidak bisa menggunakan metode pembayaran DANA?padahal kemarin2 masih bisa,sadness
"Jarak berjauhan sama anak posisi anak lagi sakit , Alhamdulillah ketemu sama halodoc sangat membantu",happiness
"first time Konsul dihalodoc sangat membantu banget hihi 💗💗💗 terima kasih untuk Dr.Danu Purnama Aji sudah menjelaskan dan meresepkan obat untuk wajah saya , sangat baik dan cukup detail menjelaskannya thankyou dok🙏👍",happiness
"Rekomendasi obatnya bagus, walau pake asuransi",happiness
Dokternya baik² dan responya cepat,happiness
obat sesuai pesanan dan oengantaran cepat,happiness
"Udah buat konsultasi tapi dokternya lama dan ga ada respon, untungnya walaupun selama chat ga ada respon masih ada resep yang di berikan",anger
dokter sangat jelas penjelasan nya,happiness
"Proses dari apotek sampai mencari driver sangat lama dan tidak bisa di track progresnya, tidak ada opsi menghubungi halodoc saat obat sedang di proses, obat bisa dibatalkan sepihak padahal konsumen sudah menunggu lama. Sangat tidak direkomendasikan menggunakan aplikasi ini jika kondisi darurat butuh obat, Paket bisa dibatalkan sepihak padahal sudah menunggu lama. Saya merekomendasikan aplikasi sebelah yg warna hijau, proses ga sampe 1 jam, obat sudah sampai, proses bisa di track.",sadness
Dokternya mengulur waktu dan mengakibatkan konsultasi tidak selesai dalam satu transaksi,anger
"Saya sudah transaksi utk langsung konsultasi, sudah refresh berkali² berharap segera dapat notif utk masuk ke room chat tapi malah gaada dan saldo saya terpotong.",anger
godd,happiness
Perlu perbaikan di tag Maps alamat tujuan karena alamat di buat berdasarkan tag lokasi padahal sudah input lokasi tapi tetap menggunakan alamat sesuai tag Maps sehingga alamat pengiriman bergeser dari alamat sebenarnya,happiness
Sangat membantu untuk saya yg tinggal sendirian jd ga panik lg terimakasi,happiness
Sistem pembayaran sedang gangguan terus lelet,sadness
Alhamdulilah dengan adanya halodoc benar-benar sangat membantu bangett apalagi saya ada keluhan dengan jerawat Sekarang jadi mendingan bangett😭 thank you dokter spkk halodoc btw aku Konsul ke dokter Ade Indrayani beliau sangat ramah dan baik .,happiness
sangat membantu untuk beli obat online👍,happiness
Bagus ramah ramah,happiness
susah verifikasi KTP sampe terkunci,sadness
Recommended. Sangat membantu. Terima kasih,happiness
"Kecewa banget, masa g ada metode pembayaran lain selain 4 itu... Tolong dong adain metode virtual account (va) apa kek terserah jadi bisa semua lapisan bisa pakek. Mau top-up dan terima layanan susah banget 😭",sadness
terbaik dan membantu,happiness
"Alhamdulillah membantu sekali, buat yg males keluar ke rmh sakit. Dokternya juga ramah2. Menjawab dengan sabar setiap pertanyaan. Therapi yg diberikan juga pas dengan keluhan.",happiness
cukup bermanfaat,happiness
Sangat membantu sangat tertolong,happiness
Fast respon 👍,happiness
sangat berguna 💖,happiness
"Respon dokternya cepat, mantap",happiness
Waktu konsultasi hanya 30 menit dan itupun harus membayar..saya pribadi kurang puas karena bayak pertanyaan yang ingin ditanyakan tapi waktu keburu habis sedangkan dokternya slow respon,sadness
Minta kode verivikasi kode nya tidak dikirim2 hadehh sistem nya jelek,anger
"terima kasih halodoc, semua menjadi mudah. alhamdulillah selalu mendapat pelayanan yg baik dari dokter² yg ada. terima kasih semua....",happiness
cukup memantu menjawab pertanyaan2 yg ditanyakan dan memberikan resep domter yg ampuh,happiness
Sudah bayar dokter tidak bisa di hubungi. Namun respon baik dana kembali dan kembali memilih dokter lain,sadness
"Kereeeeen cpt tanggap,dokternya sangat baik",happiness
"Saya pengguna halodoc sejak pertama kali aplikasi ini ada,tapi kenapa akhir2 ini aplikasinya lemot sekali,sering loading lama dan tau2 nge hang tidak bisa dipencet atau dipake buat ngetik,sudah saya coba install ulang tapi hasil tetap sama,selain itu akhir2 ini dokternya banyak yg curang,sudah bayar 100rb tapi konsulnya sengaja di menit2 terakhir chat berakhir,bahkan saya minta resep untuk anak 4 th,eh diberi sediaan tablet pahit semua,pas komplen malah gak dibls sampe chat selesai (berasa amal)",sadness
"Sangat membantu hehehe, trimakasih tum halodoc",happiness
pesan obat lama banget pengiriman yg katanya 1 jam malah jadi 2 jam lebih,anger
"Dokternya sabar, pelayannya mantap 😊",happiness
"Alhamdulillah sudah tidak kawatir lagi kalo anak sakit tengah malam langsung bisa konsul sama dr.anak langsung,Terimakasih Halodoc sangat2 membantu mengurangi kecemasan ibu 🙏🏻",happiness
"Jelek banget, dapet apotik jauh banget, cs ga ngebantu, nyeselll banget beli obat di halo doc, kapok, ga bakal beli lagi di sinih",anger
"Untuk chat dengan dokter responnya lama,, sehingga waktu 1 jam hanya bisa konsultasi beberapa pertanyaan saja,, sangat kurang puas..",sadness
"Bagus,Konsul nya mudah di pahami dokter nya cekatan dan baik",happiness
Mau tanya chat kedokter nya ada batesannya gak ya? Berapa jam / hari,happiness
Lancar dan tersedia,happiness
"dari pada mendiagnosis sendiri, lebih baik konsul ke dokter, worth it pokonya. sehat selalu.. semangat",happiness
"Baik, dan responsif,",happiness
"buruk pengiriman sangat lama sampai hampir 2 minggu baru sampai, padahal saya disolo. mau cek nomor resi juga ribet.",anger
"Sangat bgus, membantu sekali kalau keadaan urgent, dokter bgus.",happiness
"Sangat membantu sekali, Ketika kita membutuhkan obat2an dan cepat diantarnya, Halodoc solusinya.",happiness
"Membantu sekali, ambil baiknya. Semoga kalian tetap sehat dan kuat",happiness
Sejauh ini ok. Semoga hasil bagus,happiness
APLIAKSI SANGAT BERMANFAAT TAPI SAYANG SANGAT DIPERSULIT KALO MAU ISI SALDO BIKIN BINGUNG !!! TOLONG DIPERBAIKI !!!!,sadness
Pelayanannya dokternya gercep,happiness
Respon cepat dan ramah,happiness
Saya kira bisa bertatap wajah ternyata hanya chat aja,sadness
Sangat membatu,happiness
"Kenapa sekarang susah banget mau konsultasi, udah bener ada pilihan pembayaran pake dana sekarang malah ga adaa, mana aplikasi yang lain tidak bisa saya pakaiii Ayoo dong halodok transaksi pakai dana nya di pakai lagii 😭",sadness
Pelayanan cepat dan memuaskan,happiness
"Tidak bisa melakukan pembelian obat, aplikasi hanya loading di laman pembayaran, aneh banget ya",sadness
Sangat membantu untuk Konsul online dan biaya lumayan terjangkau serta dokter responsif dan obatnya terbukti ampuh,happiness
Semua dokter dari dokter umum sampai ke psikiater nya sangat fast respon dan sangat ramah penjelasan nya pun sangat bisa dimengerti,happiness
so helpfull,happiness
Cepat merespon chat,happiness
"Aplikasi nya bagus, dokter² nya juga terpercaya👍👍👍",happiness
Kirim² obatnya super cepeett. Konsul gak ribet. Makasiiiiiii,anger
Mantab respon cepat,happiness
Sangat membatu disaat urgent,happiness
"maaf saya orang susah. saya liat di iklan, konsultasi gratis, pas regis dan masu ke aplkiasi, dokter semua untuk konsultasi, semua prabayar..jdi di iklan itu boongan ya yg bilang konsultasi gratis.",sadness
"Alhamdulillah dengan adanya aplikasi ini memudahkan saya untuk Bertanya langsung ke dokter,,dan dokternya pun sangat cepat respon nya,,semoga kedepannya lebih baik lagi😊",happiness
Aplikasi yang sangat berguna dan sangat membantu,happiness
"Ngebantu banget sihhh. Buat yang males buat keluar keluar buat konsultasi ya Halodoc solusinya. Dikasih resep juga keren sih gakalah sama domter via offline. Aku ditangani sama Dr. Kusuma Dewi M.Sc, Sp. D.V.E baik banget ramahhh Dokternya♥️ Tinggal nunggu jadwal konsul ulang mingdep sukses terus ya Dok Apk nya juga ngebaantu♥️",happiness
Membantu banget di saat cari obat susah dapet nya tinggal tunggu dirumah,sadness
mantabb semoga bermanfaat,happiness
Sangat menolong dan membantu dikala kondisi tidak fit untuk ke RS/ Klinik terdekat. Terima Kasih Halodoc. God Bless,happiness
praktis membantu,happiness
"kenapa dana dihapus ya, saya jdi bingung mau transaksi lewat apa .karna gopay didaerah saya belum ada",sadness
Dokternya baik dan ramah terima kasih Dokter,happiness
Mau lacak pesanan malah gagal terus,sadness
Cukup Membantu disaat klinik bp** tidak bisa diharapkan.,sadness
"JELEK BGT MASA DI AWAL DOKTERNYA 0RP KARNA TERSAMBUNG ASURANSI, STLH BBRP HARI DITAGIH KRN KATANYA DOKTERNYA GA DITANGGUNG ASURANSI. KNP GA DARI AWAL COBA👎",anger
Jelek,anger
Bagus aplikasi yang sangat berguna untuk kesehatan kita,happiness
"Tidak bisa beli obat, fake",sadness
Untung ada halodoc,happiness
"Dokternya sedikit slow respon,tapi sangat membantu",sadness
Status pesana terkirim tapi kenyataanya saya belum menerima aplikasih tidak amanah. Saya sudah telpon pusan bantuan selama 2x24 jam pemersalahan belum teratasi. Makan itu uang haram,anger
Pelayanan dokternya tanggap dan diberi resep obat,happiness
Dokter nya fast respon🥰🥰,happiness
Top bgt,happiness
"Cukup membantu namun masih banyak bug terutama dalam hal chat yang terlambat muncul, contohnya saat chat dengan dokter balasan dari dokter atau pasien tidak langsung muncul, akibatnya percakapan menjadi tidak nyambung atau terputus konteksnya. selain itu kenapa balasan dokternya slow respon? Padahal waktunya hanya setengah jamjam! ! Apakah dokter juga melayani pasien lain di jam yang sama?? tolong diperhatikan kenyamanan user, mohon kedepannya diperbaiki.",sadness
"setelah komplain masalah transaksi yang berhasil namun pesanan gagal, langsung diatasi pihak CS dan dana sudah dikembalikan sesuai nominalnya.",sadness
Nemu dokter hewan yang baik banget,happiness
"Pesan dini hari jam 3 berharap langsung dianterin cepet, malah driver tidak bisa dihubungi dan alhasil udah nunggu 90 menit masih belum ada kabar. Harga tertera di App. Dan di Apotek juga berbeda karena setelah melakukan pembayaran pihak Apotek telfon untuk menginformasikan perbedaan harga dan suruh bayar lagi untuk kekurangannya. Kalo bisa untuk komunikasi ke berbagai pihak (Driver ataupun CS) jangan menggunakan pulsa, udah beli obat mahal driver susah dihubungi, mau laporan harus ongkos Pulsa.",sadness
Sementara ok,happiness
Alhamdulillah selalu dapat dokter yang ramah dan memuaskan,happiness
"Kenapa ga dari dulu konsultasi jerawat ke halodoc aja 🫠 dari dulu kemakan produk iklan ini itu trs, sekali konsul obat yg diresepkan sangat manjur membantu sekali deh aplikasi halodoc ini",happiness
cepet tanpa ribet,happiness
Puas,happiness
"Cepat servicenya, terima kasih obat sdh diterima",happiness
"dokter baik ramah,,,,, pokoknya enak dokternya",happiness
"dokternya cekatan dan baik semoga resepnya berkhasiat, suami saya sembuh dan aman aamiin",happiness
"Kasih voucher ke driver ga niat 100% syarat nya berlaku untuk pengguna baru. Driver yang udah pernah mesen jd ga bisa pakai semua voucher lah. Kalo kasih voucher yg niat lah buat driver jangan setengah2. Klo mau bantu ya full ga usah pake embel2 pengguna baru ribet, ga praktis.",anger
"Apotek rekanannya ga lengkap obatnya, udah diresepin dokternya cuma obat dasar ga ada",sadness
Membantu sekali dengan harga yg terjangkau,happiness
Bagus buat yang masih ragu konsultasi dokter,happiness
Membantu bagi org² yg butuh Konsul tanpa tatap muka 👍👍👍,happiness
"Ketika ada masalah, di suruh nunggu 2×24 jam, tapi sampai 8×24 jam tiap di tanya jawaban nya template doang,",anger
Sangat membantu saat konsultasi sebelum bertemu dengan dokter spesialis langsung,happiness
"Pesanan dibatalkan sepihak tanpa alasan jelas.Udah susah -susah apply kode pengguna baru,eh malah batal begitu saja.Aplikasi kesehatan yg notabene sampah doang.Jangan mau download,mending pilih aplikasi lain yang lebih jelas promonya.",sadness
FAST respon,happiness
Cukup membantu kenapa fitur untuk memasukan alamat sendiri tidak bisa hanya bisa di tentukan oleh apk nya padahal supaya tidak menjadi trouble saat pengiriman barang nya,sadness
Top lah pokoknya,happiness
"Keren, membantu,,, sinergi dengan asuransi alianz saya ,,, kerennnn",happiness
"terimakasih dr corry responnya, semoga cocok, aamiin",happiness
"Psikolognya lebih mahal drpd aplikasi sebelah. Pun jg solusi kurang membantu kyk curhat sm temen :"")",sadness
"Udah bayar giliran mau chat dokter gak bisa , aplikasi nya bikin rugi custumer...",anger
baikkkk,happiness
"good solusi,dokter ny baik n profesional",happiness
Sangat jelas dn lebih memudahkan tanpa perlu datamg ke klinik langsung tq,happiness
keterangan dokter sangat membantu tq,happiness
"Pelayanan cht respon nya lamaa, keburu memakan waktu yg udh di tentukan udh hbis duluan, tolong ya hrs lebih di perhatiin lagii cara pelayanan cht nya",sadness
"Halo min, knp sekarang obat nya tidak di kirim langsung yah? Knpa ada estimasi sampe 6 hari? Keburu sembuh pas obat sampe rumah, saya konsul dari hari rabu sampai dgn hari jumat saya blm terima obat nya. Sudah tidak kerja sama dengan gojek kah? Mau lacak pun susah!",sadness
"jelek sekali apk nya, tidak membantu, sudah bayar chat ga di bales sampai waktu hbis",anger
Okay bgt buat keadaan darurat malam malam,happiness
kereenn,happiness
